keyword,theme,theme-Chinese
拉拉,sexual orientation,性取向
百合,sexual orientation,性取向
性倾向,sexual orientation,性取向
同志,sexual orientation,性取向
男同,sexual orientation,性取向
女同,sexual orientation,性取向
断袖,sexual orientation,性取向
龙阳,sexual orientation,性取向
蕾丝,sexual orientation,性取向
同性婚姻,sexual orientation,性取向
双性恋,sexual orientation,性取向
性少数群体,sexual orientation,性取向
跨性别,sexual orientation,性取向
年龄歧视,age,年龄
老龄化,age,年龄
退休歧视,age,年龄
中年危机,age,年龄
老年就业,age,年龄
代际歧视,age,年龄
倚老卖老,age,年龄
毛头小子,age,年龄
年轻人就业,age,年龄
穷人,origin,出身
农民,origin,出身
农民工,origin,出身
低学历,origin,出身
拆迁户,origin,出身
孤儿,origin,出身
低端人口,origin,出身
社会底层,origin,出身
劣质人种,origin,出身
官二代,origin,出身
富二代,origin,出身
暴发户,origin,出身
窝囊废,origin,出身
乡巴佬,origin,出身
村姑,origin,出身
草根,origin,出身
贫下中农,origin,出身
难民,origin,出身
土包子,origin,出身
山区人,origin,出身
下层人,origin,出身
二流子,origin,出身
土鳖,origin,出身
穷鬼,origin,出身
乡下人,origin,出身
刁民,origin,出身
没文化,origin,出身
奴才,origin,出身
低贱,origin,出身
外貌,apperance,外貌
长相,apperance,外貌
丑陋,apperance,外貌
胖子,apperance,外貌
肥胖,apperance,外貌
瘦弱,apperance,外貌
肥宅,apperance,外貌
容貌焦虑,apperance,外貌
身材焦虑,apperance,外貌
丑八怪,apperance,外貌
大饼脸,apperance,外貌
塌鼻子,apperance,外貌
龅牙,apperance,外貌
腿粗,apperance,外貌
腿细,apperance,外貌
矮,apperance,外貌
肥婆,apperance,外貌
肥佬,apperance,外貌
大胸,apperance,外貌
小胸,apperance,外貌
残疾人,physical defects,身体缺陷
病残,physical defects,身体缺陷
残障,physical defects,身体缺陷
脑瘫,physical defects,身体缺陷
瞎子,physical defects,身体缺陷
聋子,physical defects,身体缺陷
阳痿,physical defects,身体缺陷
身体畸形,physical defects,身体缺陷
艾滋病,physical defects,身体缺陷
老年痴呆,physical defects,身体缺陷
口吃,physical defects,身体缺陷
缺胳膊少腿,physical defects,身体缺陷
怪胎,physical defects,身体缺陷
不健全,physical defects,身体缺陷
瘸子,physical defects,身体缺陷
变性人,physical defects,身体缺陷
不男不女,physical defects,身体缺陷
白痴,mental defects,精神缺陷
弱智,mental defects,精神缺陷
抑郁,mental defects,精神缺陷
自闭,mental defects,精神缺陷
废物,mental defects,精神缺陷
傻子,mental defects,精神缺陷
低能,mental defects,精神缺陷
精神病,mental defects,精神缺陷
神经病,mental defects,精神缺陷
心理疾病,mental defects,精神缺陷
智力障碍,mental defects,精神缺陷
精神障碍,mental defects,精神缺陷
